Company Name,ISIN,Near term - Target Status,Near term - Target Classification,Near term - Target Year,Net-Zero Committed
Revenga Smart Solution,,Targets Set,Well-below 2°C,2030,No
Rexel,FR0010451203,Targets Set,Well-below 2°C,2030,Yes
Compagnie Financière Richemont SA,CH0210483332,Targets Set,1.5°C,"2030, 2025",No
"Ricoh Co., Ltd.",JP3973400009,Targets Set,1.5°C,2030,Yes
Riverside Natural Foods Ltd.,,Targets Set,1.5°C,2030,No
Robert Bosch GmbH,,Targets Set,1.5°C,2030,No
Rolls-Royce plc,,Committed,,,Yes
Ronald Lu & Partners,,Targets Set,Well-below 2°C,2024,No
Ross-shire Engineering Limited,,Committed,,,No
Royal BAM Group,NL0000337319,Targets Set,1.5°C,2030,No
Royal DSM,NL0000009827,Targets Set,Well-below 2°C,2030,Yes
Royal Philips,NL0000009538,Targets Set,1.5°C,2025,No
RT Knits Ltd,,Committed,,,Yes
RWE AG,,Targets Set,Well-below 2°C,2030,Yes
Sabará Participações,,Targets Set,Well-below 2°C,2030,No
Sacyr S.A.,,Targets Set,1.5°C,2030,No
Safaricom Limited,,Targets Set,Well-below 2°C,"2030, 2023",No
SAINT-GOBAIN,FR0000125007,Targets Set,Well-below 2°C,2030,Yes
"Salesforce.com, Inc.",,Targets Set,1.5°C,"2030, 2024",No
Salomon,,Committed,,,No
Salvatore Ferragamo Group,IT0004712375,Targets Set,1.5°C,2029,No
SANOFI,FR0000120578,Targets Set,1.5°C,2030,Yes
SAP SE,DE0007164600,Targets Set,1.5°C,2025,No
Sappi Ltd.,,Committed,,,No
Sarawak Energy Berhad,,Committed,,,No
SAS Institute,,Targets Set,1.5°C,"2025, 2030",No
Saudi Telecom Company,SA0007879543,Committed,,,Yes
SCANIA CV,SE0000308280,Targets Set,1.5°C,2025,Yes
Scapa Inter AB,GB0007281198,Targets Set,1.5°C,2030,No
Schneider Electric,FR0000121972,Targets Set,1.5°C,2030,Yes
Schreiber Foods,,Targets Set,2°C,2030,No
Schüco International KG,,Targets Set,1.5°C,2025,Yes
"Schwarz Gruppe (Kaufland Stiftung, Lidl Stiftung, PreZero Stiftung, Schwarz Produktion)",,Targets Set,1.5°C,"2030, 2026",No
SCM Garments PVT Limited,,Committed,,,No
Scottish Hydro Electric Transmission Plc,,Targets Set,1.5°C,"2030, 2025",No
"SCREEN Holdings Co., Ltd.",JP3494600004,Targets Set,Well-below 2°C,2030,No
Seagate Technology,IE00B58JVZ52,Targets Set,Well-below 2°C,2025,No
Seiko Epson Corporation,JP3414750004,Targets Set,1.5°C,2025,No
"SEKISUI CHEMICAL CO., LTD",JP3419400001,Targets Set,2°C,2030,No
"Sekisui House, LTD",JP3420600003,Targets Set,Well-below 2°C,2030,Yes
Selfridges Retail Ltd.,,Targets Set,1.5°C,"2030, 2024",No
Senior Plc,GB0007958233,Targets Set,1.5°C,2025,No
SERVIER,,Targets Set,2°C,"2030, 2024",No
"Seventh Generation, Inc.",US81806K1016,Targets Set,1.5°C,2030,No
Severn Trent,,Targets Set,1.5°C,"2031, 2026",No
SGS SA,CH0002497458,Targets Set,2°C,"2025, 2030",No
Shaftesbury PLC,GB0007990962,Targets Set,1.5°C,2030,No
Sharp Corporation,JP3359600008,Targets Set,Well-below 2°C,2031,No
SHIMADZU CORPORATION,,Targets Set,2°C,2030,No
Shimizu Corporation,JP3358800005,Targets Set,Well-below 2°C,2030,No
"Shionogi & Co.,Ltd",JP3347200002,Targets Set,1.5°C,2031,No
Shree Cement Ltd.,INE070A01015,Targets Set,2°C,2030,No
Sibanye-Stillwater,ZAE000173951,Targets Set,2°C,2025,No
"Siemens Gamesa Renewable Energy, S.A.",ES0143416115,Targets Set,1.5°C,2025,Yes
SIG Combibloc,CH0435377954,Targets Set,1.5°C,2030,Yes
Signify,NL0011821392,Targets Set,1.5°C,2030,Yes
Silicom,,Committed,,,No
Simon Property Group,US8288061091,Targets Set,1.5°C,2035,No
Singapore Telecommunications Limited (Singtel),SG1T75931496,Targets Set,Well-below 2°C,2030,Yes
Sinyi Realty Inc.,,Targets Set,1.5°C,2030,No
"SK Securities, Co., Ltd",,Committed,,,No
SK Telecom,KR7017670001,Committed,,,No
Skanska AB,SE0000113250,Targets Set,1.5°C,2030,No
Skunkfunk,,Targets Set,1.5°C,2025,No
Sky Group,,Targets Set,1.5°C,2030,Yes
SKYCITY Entertainment Group Limited,NZSKCE0001S2,Targets Set,Well-below 2°C,"2030, 2023",No
SkyPower Global,,Committed,,,Yes
Slaughter and May,,Targets Set,1.5°C,2030,Yes
Smart Phases Inc. (DBA Novacab),,Committed,,,Yes
Smurfit Kappa Group,IE00B1RR8406,Targets Set,Well-below 2°C,2030,No
Societe Generale,FR0000130809,Committed,,,No
Sodexo,FR0000121220,Targets Set,1.5°C,2025,No
Sofidel S.p.A.,,Targets Set,Well-below 2°C,2030,No
SOK Corporation,,Targets Set,1.5°C,"2030, 2023",No
Solvay,,Committed,,,No
"Sompo Holdings, Inc.",JP3165000005,Committed,,,No
Sonae Sierra,PTSOA0AE0008,Committed,,,No
Sony Corporation,US8356993076,Targets Set,1.5°C,"2035, 2025",No
Sopra Steria Group,FR0000050809,Targets Set,1.5°C,2025,No
Sörby Handelsträdgård Aktiebolag,,Targets Set,1.5°C,2030,No
South East Water,,Committed,,,Yes
SPADEL SA,,Targets Set,Well-below 2°C,2030,No
SSAB,SE0000120669,Targets Set,Well-below 2°C,2032,Yes
SSE,GB0007908733,Targets Set,1.5°C,"2030, 2024, 2034",Yes
Standard Chartered Bank,GB0004082847,Committed,,,No
Stanley Black & Decker,US8545021011,Targets Set,1.5°C,2030,No
Starbucks Coffee Company,US8552441094,Targets Set,1.5°C,2030,No
Steelcase Inc.,,Targets Set,1.5°C,"2031, 2025",No
STMicroelectronics NV,,Targets Set,1.5°C,"2025, 2030",No
Stonyfield,US9136741074,Targets Set,2°C,2030,No
Stora Enso,FI0009005961,Targets Set,1.5°C,2030,No
Storebrand ASA,NO0003053605,Committed,,,Yes
Strategic Sports Ltd.,,Committed,,,No
SUEZ,FR0010613471,Targets Set,1.5°C,"2030, 2026",Yes
"SUMITOMO CHEMICAL Co., Ltd.",JP3401400001,Targets Set,Well-below 2°C,2030,No
"Sumitomo Electric Industries, Ltd.",,Targets Set,Well-below 2°C,2031,No
"Sumitomo Forestry Co., Ltd",JP3409800004,Targets Set,2°C,2030,Yes
Suntory Beverage & Food Limited,JP3336560002,Targets Set,1.5°C,2030,Yes
Suntory Holdings Limited,JP3336560002,Targets Set,1.5°C,2030,Yes
sustainable AG,,Targets Set,1.5°C,2025,No
Swaraj Engines Limited,INE277A01016,Targets Set,1.5°C,2033,No
Sweco,,Committed,,,No
Swedbank AB,SE0000242455,Committed,,,Yes
Swedish Match,SE0000310336,Targets Set,Well-below 2°C,2030,No
Swire Coca-Cola Limited,,Targets Set,1.5°C,2030,No
Swire Properties Limited,HK0000063609,Targets Set,1.5°C,"2025, 2030",Yes
Swiss Re,CH0126881561,Committed,,,Yes
Swisscom,CH0008742519,Targets Set,1.5°C,2020,No
Symrise AG,DE000SYM9999,Targets Set,1.5°C,"2030, 2020",Yes
Syngenta,CH0011037469,Targets Set,Well-below 2°C,2030,No
Synlait Milk Limited,NZSMLE0001S9,Targets Set,1.5°C,"2028, 2025",No
"T-Mobile USA, Inc.",US8725901040,Targets Set,1.5°C,2030,No
T.GARANT_ BANKASI A._.,TRAGARAN91N1,Committed,,,No
Tai Wah Garment Industry Sdn. Bhd.,,Targets Set,1.5°C,2024,No
Taiga Apparel (Pvt.) Limited,,Committed,,,No
"TAIHO PHARMACEUTICAL CO., LTD",,Targets Set,2°C,2030,No
Taisei Corporation,JP3443600006,Targets Set,2°C,2030,No
Taiwan Cement Corporation,TW0001101004,Targets Set,Well-below 2°C,2025,No
"Taiwan Mobile Co., Ltd",TW0003045001,Targets Set,Well-below 2°C,2030,No
Takasago International Corporation,JP3454400007,Targets Set,Well-below 2°C,2031,No
Takasago Thermal Engineering,,Targets Set,Well-below 2°C,2030,No
Takeda Pharmaceutical Company,JP3463000004,Targets Set,1.5°C,"2025, 2024",Yes
TALAWAKELLE TEA ESTATES PLC,LK0311N00007,Targets Set,1.5°C,2030,Yes
Target Corporation,US87612E1064,Targets Set,2°C,"2030, 2023",Yes
TATA CHEMICALS LIMITED,INE092A01019,Targets Set,Well-below 2°C,2030,No
TATA GLOBAL BEVERAGES Ltd.,INE192A01025,Committed,,,No
Tate & Lyle PLC,,Targets Set,Well-below 2°C,2030,No
Taylor Wimpey,,Targets Set,1.5°C,"2025, 2030",No
TCC S.A.S.,,Committed,,,No
Tchibo GmbH,,Targets Set,1.5°C,2030,Yes
TDC A/S,DK0060228559,Targets Set,1.5°C,2030,Yes
Teachers Mutual Bank,,Committed,,,No
Tech Mahindra,INE669C01036,Targets Set,2°C,2030,No
Ted Baker,GB0001048619,Committed,,,No
Tele2 AB,,Targets Set,1.5°C,"2025, 2029",No
TELEFÓNICA,ES0178430E18,Targets Set,1.5°C,"2025, 2030",Yes
Telenor Group,NO0010063308,Targets Set,1.5°C,"2030, 2025",No
Telia Company AB,SE0000667925,Targets Set,1.5°C,2025,Yes
Telstra,AU000000TLS2,Targets Set,1.5°C,2030,Yes
Tendam Retail S.A.,,Targets Set,1.5°C,"2031, 2030",No
Tennant Company,US8803451033,Targets Set,2°C,2030,No
TenneT Holding B.V.,,Targets Set,1.5°C,,Yes
Terumo Corporatio,,Targets Set,Well-below 2°C,2030,No
Tesco,GB0008847096,Targets Set,1.5°C,"2025, 2030",Yes
TETRA PAK,,Targets Set,1.5°C,2030,No
Thalys,,Targets Set,Well-below 2°C,2020,No
The Anderson-DuBose Company,,Targets Set,2°C,2030,No
The British Land Company PLC,,Targets Set,1.5°C,2030,No
The Clorox Company,US1890541097,Targets Set,1.5°C,2030,Yes
The Co-operative Group Ltd.,,Targets Set,1.5°C,2025,Yes
The Coca-Cola Company,US1912161007,Targets Set,2°C,2030,No
The Estée Lauder Companies,US5184391044,Targets Set,1.5°C,2030,No
"The HAVI Group, LP",,Targets Set,2°C,2030,No
The Hershey Company,US4278661081,Targets Set,1.5°C,2030,No
"The Hongkong & Shanghai Hotels, Limited",HK0045000319,Committed,,,No
The J.M. Smucker Company,US8326964058,Targets Set,Well-below 2°C,2030,No
The Lux Collective Ltd,,Committed,,,Yes
"The Martin-Brower Company, L.C.C.",,Targets Set,Well-below 2°C,2030,No
The Port Authority of New York and New Jersey,,Targets Set,Well-below 2°C,"2025, 2032",No
The Schneider Group,,Committed,,,No
The VELUX Group,,Targets Set,1.5°C,2030,No
Thomson Reuters,CA8849031056,Targets Set,1.5°C,"2030, 2025",No
"Thor Industries, Inc.",,Committed,,,Yes
"ThoughtWorks, Inc.",,Committed,,,No
thyssenkrupp AG,DE0007500001,Targets Set,Well-below 2°C,2030,No
Timberlink Australia | New Zealand,,Targets Set,1.5°C,2030,No
"Tintex Textiles, S.A",,Targets Set,1.5°C,2030,Yes
TMG Automotive,,Committed,,,Yes
TODA Corporation,JP3627000007,Targets Set,2°C,2030,No
Toitū Envirocare,,Targets Set,1.5°C,2030,No
"Tokio Marine Holdings, Inc.",JP3910660004,Committed,,,No
Tokmanni Oy,,Targets Set,1.5°C,2025,No
"Tokyu Construction Co., Ltd.",,Targets Set,Well-below 2°C,2030,No
Tokyu Fudosan Holdings Corporation,,Targets Set,1.5°C,2030,Yes
"TOPPAN PRINTING CO., LTD.",JP3629000005,Targets Set,2°C,2030,No
Toshiba Corporation,JP3592200004,Targets Set,Well-below 2°C,2030,No
Transurban Group,,Targets Set,1.5°C,2030,No
Tribe Impact Capital LLP,,Committed,,,No
Triciclos,,Committed,,,Yes
TSKB,TRATSKBW91N0,Committed,,,No
Türkiye İş Bankası,,Committed,,,No
"Tyson Foods, Inc.",US9024941034,Targets Set,2°C,2030,No
Ignitis Group,,Targets Set,1.5°C,2030,Yes
"Uber Technologies, Inc.",,Committed,,,No
UCB,BE0003739530,Targets Set,Well-below 2°C,"2030, 2025",No
UltraTech Cement Limited,,Targets Set,Well-below 2°C,2032,No
"Under Armour, Inc.",US9043111072,Targets Set,1.5°C,2030,Yes
Unibail-Rodamco-Westfield SE,FR0013326246,Targets Set,1.5°C,2030,No
Unicharm Corporation,JP3951600000,Targets Set,2°C,2030,No
Unidas S/A,,Committed,,,No
Unilever plc,GB00B10RZP78,Targets Set,1.5°C,2030,Yes
Union Pacific Railroad,,Targets Set,Well-below 2°C,2030,No
Univar Solutions,US91336L1070,Committed,,,Yes
Universal Corporation,US9134561094,Targets Set,Well-below 2°C,2030,No
UPM-Kymmene Corporation,FI0009005987,Targets Set,1.5°C,2030,No
USHIO INC.,JP3156400008,Targets Set,2°C,2030,No
V. MANE Fils,,Targets Set,Well-below 2°C,2030,No
Vakifbank,,Committed,,,No
Vakrangee Limited,,Committed,,,Yes
Vale S.A.,,Committed,,,No
Valio Ltd.,,Targets Set,1.5°C,2030,No
VALLOUREC,FR0000120354,Targets Set,Well-below 2°C,2025,No
Valora Sustainability & Innovation,,Committed,,,No
Vasakronan AB,,Targets Set,Well-below 2°C,2030,No
Vattenfall AB,DE0006012008,Targets Set,1.5°C,2030,Yes
VAUDE Sport,,Committed,,,Yes
"Ventas, Inc.",US92276F1003,Targets Set,Well-below 2°C,2030,No
Veolia Environnement S.A.,FR0000124141,Targets Set,Well-below 2°C,2034,Yes
Verallia,,Targets Set,1.5°C,2030,No
Verescence,,Targets Set,Well-below 2°C,2030,No
"Veritas Technologies, LLC",,Targets Set,1.5°C,2025,No
Verizon,US92343V1044,Targets Set,1.5°C,"2030, 2035",No
Vestas Wind Systems,DK0010268606,Targets Set,1.5°C,2030,Yes
VF Corporation,,Targets Set,1.5°C,2030,Yes
VIÑA CONCHA Y TORO,CLP9796J1008,Targets Set,1.5°C,2030,Yes
Vina Polkura SA,,Committed,,,Yes
Virgin West Coast Trains Ltd,,Committed,,,No
VIRUTEX ILKO S.A,,Targets Set,Well-below 2°C,2030,No
Vivendi SE,,Committed,,,No
"VMware, Inc",,Targets Set,1.5°C,"2031, 2021, 2025",No
Vodafone Group Plc,GB00BH4HKS39,Targets Set,1.5°C,"2030, 2025",No
Volkswagen AG,DE0007664039,Targets Set,Well-below 2°C,"2030, 2025",No
Volvo Car Group,,Targets Set,1.5°C,2030,No
VPK Packaging Group,,Committed,,,No
Walmart Inc.,US9311421039,Targets Set,1.5°C,"2025, 2030",Yes
"WasteBox, Inc.",,Targets Set,1.5°C,2030,No
Wereldhave,,Targets Set,Well-below 2°C,2030,No
Westpac Banking Corporation,AU000000WBC1,Committed,,,No
Whirlpool Corporation,US9633201069,Targets Set,Well-below 2°C,2030,No
White House,,Targets Set,1.5°C,2030,No
Wihlborgs Fastigheter,SE0011205194,Targets Set,1.5°C,2030,No
Willmott Dixon Holdings Limited,,Targets Set,1.5°C,2030,Yes
Wipro,INE075A01022,Targets Set,1.5°C,2030,Yes
Woolworths Group Limited,AU000000WOW2,Targets Set,1.5°C,2030,No
Woolworths Holdings Ltd,AU000000WOW2,Targets Set,1.5°C,"2030, 2024",No
Workday,,Targets Set,1.5°C,2030,No
Workspace Group PLC,GB00B67G5X01,Targets Set,1.5°C,2030,Yes
Worldline,FR0011981968,Targets Set,1.5°C,2025,No
"Wuhu Sanqi Interactive Entertainment Network Technology Group Co., Ltd.",CNE1000010N2,Committed,,,No
Xerox Corporation,US9841211033,Targets Set,1.5°C,2030,Yes
Xiamen Intretech Inc,CNE1000033H6,Committed,,,No
Yamaha Corporation,JP3942600002,Targets Set,1.5°C,2031,No
Yarra Valley Water,,Committed,,,Yes
YES Bank,INE528G01019,Committed,,,No
YKK AP Inc.,,Targets Set,Well-below 2°C,2030,No
YKK Corporation,,Targets Set,1.5°C,2030,No
Yuanta Financial Holding Co Ltd,TW0002885001,Committed,,,No
Zalando SE,DE000ZAL1111,Targets Set,1.5°C,2025,No
Zhejiang Arcana Power Sports Tech. Co.. Ltd.,,Committed,,,No
Zimmer Biomet,,Targets Set,1.5°C,2030,No
Zurich Insurance Group Ltd,CH0011075394,Committed,,,No
FSP Technology Inc.,TW0003015004,Committed,,,No
Contraf-Nicotex-Tobacco GmbH (CNT),,Committed,,,No
Albert Bartlett and Sons (Airdrie) Ltd.,,Committed,,,No
Hochland Deutschland GmbH,,Committed,,,No
UPL Limited,INE628A01036,Committed,,,No
Atlantic Packaging,,Committed,,,No
KPMG International Limited,,Targets Set,1.5°C,2030,No
AB Volvo,,Targets Set,1.5°C,"2030, 2034",Yes
Fonterra Co-operative Group Limited,NZFCGE0001S7,Targets Set,Well-below 2°C,"2030, 2024",No
Multi-Color Corporation,,Committed,,,No
Greenyard NV,,Committed,,,No
TalkTalk,,Committed,,,No
Hempel A/S,,Targets Set,1.5°C,2026,No
Krones AG,,Targets Set,1.5°C,2030,No
CapitaLand,,Targets Set,Well-below 2°C,2030,No
"Kawada Feather Co.,Ltd.",,Targets Set,1.5°C,2030,No
Nature's Management,,Targets Set,1.5°C,2030,No
NatWest Group plc,,Committed,,,Yes
Newmont Corporation,US6516391066,Targets Set,Well-below 2°C,2030,No
X5 Retail Group,,Committed,,,No
RPS Group plc,,Targets Set,1.5°C,2034,No
Fresh Del Monte Produce Inc.,,Targets Set,Well-below 2°C,2030,No
Kepak Group,,Committed,,,No
Linden Foods,,Committed,,,No
Shinhan Financial Group,,Committed,,,No
Johnson & Johnson,,Targets Set,1.5°C,2030,Yes
Helen Oy,,Committed,,,No
Sierra Nevada Brewing Co.,,Committed,,,No
Phoenix Group Holdings plc,GB00BGXQNP29,Committed,,,Yes
"Analog Devices, Inc.",US0326541051,Targets Set,1.5°C,"2030, 2025",Yes
United Utilities Group PLC,GB00B39J2M42,Targets Set,1.5°C,"2030, 2023, 2025",Yes
Antea Nederland B.V.,,Targets Set,1.5°C,2030,No
AFRY (ÅF Pöyry),,Committed,,,Yes
CGI IT UK LTD,CA12532H1047,Targets Set,1.5°C,2026,No
Emmi Group,CH0012829898,Targets Set,1.5°C,2027,Yes
Terna S.p.A.,IT0003242622,Targets Set,Well-below 2°C,2030,No
Dassault Systemes,FR0000130650,Targets Set,1.5°C,"2027, 2025",No
Foyle Food Group,,Targets Set,Well-below 2°C,2030,No
Veidekke ASA,,Committed,,,Yes
AAK AB,SE0001493776,Committed,,,No
Coloplast A/S,DK0060448595,Committed,,,No
"LYMI, Inc. DBA Reformation",,Committed,,,No
NENT Group,SE0012116390,Committed,,,Yes
NKT Cables Group A/S,DK0010287663,Committed,,,Yes
PricewaterhouseCoopers International Limited (PwC IL),,Targets Set,1.5°C,"2030, 2025",Yes
Södra Skogsägarna ekonomisk förening,,Committed,,,Yes
Stella McCartney,,Committed,,,Yes
Royal Schiphol Group,,Committed,,,Yes
Uponor Corporation,FI0009002158,Targets Set,1.5°C,"2030, 2025",No
Salcomp,,Targets Set,Well-below 2°C,2030,No
Heinz Glas Dzialdowo Sp Z.o.o.c,,Committed,,,No
Clariant AG,CH0012142631,Targets Set,Well-below 2°C,2030,No
Balfour Beatty Plc,GB0000961622,Committed,,,No
Royal FrieslandCampina N.V.,,Committed,,,No
ARÇELİK A.Ş.,TRAARCLK91H5,Targets Set,Well-below 2°C,2030,Yes
"Nomura Real Estate Holdings, Inc.",JP3762900003,Targets Set,Well-below 2°C,2030,No
thinkstep-anz,,Targets Set,1.5°C,,Yes
Thule Group,,Targets Set,1.5°C,2030,No
RES Group,,Committed,,,Yes
The Lego Group,,Targets Set,1.5°C,2032,No
Rockwool Group,DK0010219153,Targets Set,Well-below 2°C,2034,No
Ferrero International S.A.,,Targets Set,1.5°C,2030,No
Cofinimmo,BE0003593044,Targets Set,1.5°C,2030,No
Castrén & Snellman Attorneys Ltd,,Targets Set,1.5°C,2030,No
Sembcorp Industries Ltd,SG1R50925390,Committed,,,No
Ramboll Group A/S,,Targets Set,1.5°C,"2030, 2025",Yes
"Tubacex, S.A.",ES0132945017,Targets Set,1.5°C,2030,No
Henri Hutin,,Committed,,,No
Global Via Infraestructuras S.A.,,Committed,,,No
Infosys Limited,INE009A01021,Targets Set,Well-below 2°C,"2025, 2035",No
Yingyang (China) Aroma Chemical Group,,Targets Set,Well-below 2°C,2030,No
Sapphire Textile Mills Limited,,Committed,,,No
"United Natural Foods, Inc.",US9111631035,Committed,,,No
Sodimac S.A.,,Committed,,,No
Capri Holdings Limited,VGG1890L1076,Committed,,,Yes
"Airsys Refrigeration Engineering Technology (Beijing) Co., Ltd.",,Committed,,,No
FREE NOW,,Committed,,,No
Hermès International,FR0000052292,Targets Set,1.5°C,2030,No
ABOUT YOU,,Targets Set,1.5°C,2025,No
Waste Management,US94106L1098,Committed,,,No
Roland Berger,,Targets Set,1.5°C,2028,No
Cristal Union,,Committed,,,No
Hebei Chengxin Co. Ltd,,Committed,,,No
ICF,US44925C1036,Targets Set,Well-below 2°C,2025,No
Elecnor,ES0129743318,Committed,,,No
Arcadis NV,NL0006237562,Targets Set,1.5°C,2035,Yes
Ricardo PLC,GB0007370074,Targets Set,1.5°C,"2030, 2031",Yes
Getinge AB,SE0000202624,Committed,,,Yes
Hogan Lovells,,Committed,,,Yes
Shoosmiths LLP,,Targets Set,1.5°C,2030,Yes
Stanton Williams,,Targets Set,1.5°C,2030,No
Konecranes Oyj,FI0009005870,Targets Set,1.5°C,2030,No
Marel,IS0000000388,Committed,,,No
Zebra Technologies Corporation,US9892071054,Committed,,,No
ISS A/S,DK0060542181,Committed,,,No
Vornado Realty Trust,US9290421091,Targets Set,1.5°C,2030,No
ERAMET,FR0000131757,Targets Set,Well-below 2°C,"2035, 2025",No
WSP Global Inc.,CA92938W2022,Targets Set,1.5°C,2030,Yes
EQT AB,SE0012853455,Targets Set,1.5°C,2030,No
Miele & Cie. KG,,Targets Set,1.5°C,2030,No
TPV Technology Limited,,Committed,,,No
SSEN Distribution,,Targets Set,1.5°C,"2033, 2026",No
PACCAR Inc,US6937181088,Targets Set,Well-below 2°C,2030,No
Heimstaden Bostad AB,,Committed,,,No
Bama Fresh Cuts AB,,Targets Set,Well-below 2°C,2031,No
BA GLASS B.V.,,Committed,,,No
Burges Salmon LLP,,Committed,,,No
European Metal Recycling Limited,,Committed,,,Yes
Snap Inc.,US83304A1060,Targets Set,1.5°C,2025,No
Reitan Convenience Sweden AB,,Targets Set,1.5°C,2030,Yes
Riksbyggen,,Committed,,,No
JD Sports Fashion PLC,GB00BYX91H57,Committed,,,No
MAS Capital Ptv Ltd.,,Targets Set,1.5°C,2025,Yes
Stantec Inc.,CA85472N1096,Targets Set,1.5°C,,Yes
Jackson Family Wines,,Committed,,,No
Evotec SE,DE0005664809,Committed,,,Yes
Scan Global Logistics A/S,,Committed,,,Yes
The Macerich Company,US5543821012,Targets Set,1.5°C,2030,No
Lime (Neutron Holdings dba Lime),,Targets Set,1.5°C,2030,Yes
"The Children's Place, Inc.",,Targets Set,Well-below 2°C,2030,No
The Berkeley Group Holdings plc,,Targets Set,1.5°C,2030,Yes
"Re:CS Co.,Ltd.",,Targets Set,Well-below 2°C,2030,No
TRUMPF GmbH & Co. KG,,Targets Set,1.5°C,"2030, 2023",No
Mishcon de Reya LLP,,Targets Set,1.5°C,2030,Yes
Lloyd Fonds AG,DE000A12UP29,Committed,,,No
"Grupo Televisa, S.A.B.",MXP4987V1378,Committed,,,No
Meira Oy,,Targets Set,1.5°C,2028,No
eBay Inc.,US2786421030,Targets Set,1.5°C,2030,No
TSB Bank,XS1951430138,Committed,,,No
Greiner AG,,Committed,,,No
Elis Textil Service AB,,Committed,,,No
Hydrock Consultants Ltd,,Committed,,,Yes
Kansas City Southern,US4851703029,Targets Set,Well-below 2°C,2034,No
MRV Engenharia e Participações S.A,BRMRVEACNOR2,Committed,,,No
"JIANGSU HONGBANG CHEMICAL TECHNOLOGY CO., LTD",,Committed,,,No
Zuellig Pharma,,Committed,,,No
Brooks Running,,Targets Set,1.5°C,2030,Yes
Edgard & Cooper,,Targets Set,1.5°C,2030,No
"Super Micro Computer, Inc.",US86800U1043,Committed,,,No
Valeo,FR0013176526,Targets Set,1.5°C,2030,Yes
WPP Plc,JE00B8KF9B49,Targets Set,1.5°C,"2025, 2030",Yes
Rightmove plc,GB00BGDT3G23,Committed,,,Yes
ZTO Express (Cayman) Inc.,US98980A1051,Committed,,,No
Soitec,FR0013227113,Targets Set,1.5°C,2026,No
"SHANDONG NHU PHARMACEUTICAL CO., LTD.",,Committed,,,No
Buro Happold,,Targets Set,1.5°C,2025,Yes
S&P Global,US78409V1044,Targets Set,1.5°C,2025,Yes
SUND Holding GmbH + Co. KG,,Targets Set,Well-below 2°C,2030,No
General Motors,US37045V1008,Targets Set,1.5°C,2035,Yes
Banco do Brasil S.A.,BRBBASACNOR3,Committed,,,Yes
"Hon Hai Precision Inc. Co., Ltd.",TW0002317005,Committed,,,Yes
Coats Group plc,GB00B4YZN328,Targets Set,1.5°C,2030,Yes
Stena Recycling AB,NA,Committed,,,Yes
TELUS Corporation,CA87971M1032,Targets Set,1.5°C,2030,No
EY,,Targets Set,1.5°C,2025,Yes
Aptiv,JE00B783TY65,Committed,,,No
SIDEL Group,NA,Targets Set,Well-below 2°C,2030,No
Zentis GmbH & Co. KG,NA,Committed,,,No
Betsson AB,SE0014186532,Targets Set,1.5°C,2030,No
Freshfields Bruckhaus Deringer,NA,Committed,,,No
Teleperformance,FR0000051807,Targets Set,Well-below 2°C,2026,No
"Guangzhou Battsys Co., Ltd.",NA,Targets Set,Well-below 2°C,2029,No
Teijin limited,JP3544000007,Targets Set,Well-below 2°C,2030,No
Extra Light (Guangzhou) Electrical Co. Ltd.,NA,Committed,,,No
SILAB,,Targets Set,Well-below 2°C,2030,No
Reynders Etiketten N.V.,,Targets Set,Well-below 2°C,2030,No
"DAIDO TRADING CO.,LTD",,Targets Set,1.5°C,2030,No
Cogeco Inc.,,Targets Set,1.5°C,"2030, 2025",Yes
Eunomia Research & Consulting Ltd,,Targets Set,1.5°C,2030,No
Plastigaur,,Targets Set,1.5°C,2030,No
House of Baukjen,,Targets Set,1.5°C,2030,No
Pal International,,Targets Set,1.5°C,2030,No
"KYOHATSU INDUSTRY Co., Ltd.",,Targets Set,1.5°C,2030,No
"Sakakibara Industry Co., Ltd.",,Targets Set,1.5°C,2030,No
Mintel Group Limited,,Committed,,,No
SalMar ASA,NO0010310956,Committed,,,No
TIS Inc.,JP3104890003,Targets Set,Well-below 2°C,2031,No
Softcat plc,GB00BYZDVK82,Committed,,,No
TietoEVRY,FI0009000277,Committed,,,No
Ashland LLC,US0441861046,Committed,,,No
VodafoneZiggo,,Targets Set,1.5°C,2025,No
Optimised Energy,,Targets Set,1.5°C,2030,No
Fazer Group,,Targets Set,1.5°C,2030,No
FPA Multifamily LLC,,Committed,,,No
"Meiji Holdings Co., Ltd.f",JP3918000005,Targets Set,Well-below 2°C,2031,No
"E.SUN Financial Holding Co., Ltd.",US26915N2071,Targets Set,1.5°C,,Yes
Hilton Food Group,GB00B1V9NW54,Targets Set,Well-below 2°C,2030,Yes
FLSmidth,DK0010234467,Targets Set,1.5°C,"2030, 2025",No
Credit Suisse Group,CH0012138530,Committed,,,Yes
GreenFlex,,Committed,,,No
"ECO WORKS co.,ltd.",,Targets Set,1.5°C,2030,Yes
Great Portland Estates plc,,Targets Set,1.5°C,2030,No
Haldor Topsøe,,Committed,,,No
Vandemoortele NV,,Committed,,,No
Ace & Tate Holding B.V.,,Committed,,,Yes
Holmen AB,SE0011090018,Targets Set,Well-below 2°C,2030,Yes
South Pole,,Targets Set,1.5°C,2030,Yes
Ecolean,,Targets Set,1.5°C,2030,No
Siemens AG,DE0007236101,Targets Set,1.5°C,2030,Yes
Euro Centra Company Limited,,Targets Set,Well-below 2°C,2030,No
New World Development Company Limited,,Committed,,,No
